runseq,pid,bid,ketones,NEFA,Lactate,Glucose,Glycerol,Glucagon,Insulin,Leptin,Corticosterone,Insulin_uU/mL,Insulin_pM,insulin_glucagon_molar_ratio
17,10901434,90567,1006,0.72,1.01,143,1.33,96,2203,11129,70,50.669,379.8,4
87,10934529,90569,866,0.46,1.17,168,0.77,88.2,1965,9144,61,45.195,338.8,3.8
90,10953744,90571,645,0.42,1.31,146,1.14,133.1,2302,12808,96,52.946,396.9,3
91,10950486,90559,865,0.6,1.39,161,1.07,88.7,1920,9698,44,44.16,331,3.7
105,10700102,90560,887,0.8,1.17,161,1.59,59,2098,14513,5,48.254,361.7,6.1
138,10833331,90564,1082,0.72,1.13,132,1.42,149.4,2633,9687,32,60.559,454,3
3,10886028,90565,1158,0.78,1.11,141,1.82,80.4,2357,17774,58,54.211,406.4,5.1
67,10962735,90572,981,0.62,1.11,146,1.25,83.9,1683,10864,23,38.709,290.2,3.5
92,10760008,90573,572,0.33,1.41,182,1.18,55,2871,16708,18,66.033,495,9
93,10784616,90563,661,0.62,1.3,153,1.48,63.1,1745,20695,49,40.135,300.9,4.8
106,10901000,90566,645,0.55,1.44,165,1.2,76.6,2843,17137,20,65.389,490.2,6.4
109,10914331,90568,900,0.55,1.3,155,1.7,95.5,2034,11022,37,46.782,350.7,3.7
125,10770666,90561,1080,0.66,1.4,138,1.15,149.6,1406,8485,23,32.338,242.4,1.6
143,10780629,90562,513,0.54,1.69,174,0.96,41.3,2272,11870,40,52.256,391.7,9.5
145,10950648,90570,660,0.67,1.66,174,1.4,95.3,2671,18207,68,61.433,460.5,4.8
2,10561072,90430,473,0.98,1.44,171,1.92,38.6,3702,50383,70,85.146,638.3,16.5
44,10417702,90421,798,0.71,1.01,184,1.26,43.3,5537,35424,127,127.351,954.7,22
54,10619259,90432,626,0.66,1.19,171,1.02,18.1,2755,42103,84,63.365,475,26.2
89,10424911,90423,396,0.76,1.52,176,1.38,35,2605,33978,84,59.915,449.1,12.8
101,10503110,90426,519,0.83,1.2,185,1.49,27.5,2949,35022,24,67.827,508.4,18.5
146,10422463,90422,743,0.91,1.1,162,1.3,36.6,3511,28431,62,80.753,605.3,16.5
4,10675086,90434,687,1.12,1.02,172,2.32,26.7,4173,31187,18,95.979,719.5,26.9
16,10677887,90435,766,1.11,1.04,173,1.64,58.4,4232,52334,139,97.336,729.7,12.5
53,10471596,90424,851,0.83,1.19,172,1.4,19.1,3756,35740,59,86.388,647.6,33.9
84,10553053,90429,462,0.57,1.02,160,1.03,20,4342,33106,60,99.866,748.6,37.4
85,10478337,90425,874,0.72,1.13,160,1.28,50.2,3616,23112,21,83.168,623.4,12.4
110,10536558,90427,438,0.98,1.19,175,1.03,50.5,3116,32867,24,71.668,537.2,10.6
111,10616233,90431,442,0.63,1.46,182,1.12,41.2,2795,21101,58,64.285,481.9,11.7
129,10543767,90428,950,1.04,1.19,188,1.27,38.7,2483,40635,52,57.109,428.1,11.1
137,10621903,90433,543,1.26,1.36,178,1.25,22.3,2890,29541,10,66.47,498.3,22.3
11,10734945,90578,972,0.77,1.16,146,1.15,4.3,2169,12917,31,49.887,374,87
28,10871349,90585,1003,0.71,1.35,150,1.3,139,2084,9898,78,47.932,359.3,2.6
49,10680837,90574,1039,0.77,1.25,130,1.5,66.4,1921,12579,14,44.183,331.2,5
58,10729518,90576,767,0.64,1.43,150,1.41,58.7,2195,13772,33,50.485,378.4,6.4
100,10971645,90587,1053,0.59,1.16,131,0.9,152.9,5701,8930,18,131.123,982.9,6.4
131,10761160,90581,1059,0.76,1.37,141,1.29,78.9,1400,11991,58,32.2,241.4,3.1
15,10972374,90588,681,0.79,1.29,155,1.22,53.1,2412,20258,67,55.476,415.9,7.8
32,10782168,90582,970,1.03,1.11,120,2.05,105.8,1340,6072,55,30.82,231,2.2
